name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"6.605874, 3.349149",2023-06-19,30,23,25.9,35.1,23,27.4,23.6,87.7,19,100,4.17,rain,0,0,23.8,18.4,228.3,1013.6,48.5,9.4,254.1,21.9,9,30,2023-06-19T06:32:48,2023-06-19T19:03:08,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,65201099999"
"6.605874, 3.349149",2023-06-20,30,23.9,26.6,36.2,23.9,28.6,24.1,86.5,0,0,0,rain,0,0,27.7,24.1,224.2,1013.3,52.9,10.4,128,10.9,5,30,2023-06-20T06:33:01,2023-06-20T19:03:21,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-06-21,28.1,24.8,25.6,32.9,24.8,26.1,23.9,90.6,1,100,4.17,rain,0,0,31.7,27.7,223,1014.1,57.8,9.1,118.6,10.2,7,10,2023-06-21T06:33:14,2023-06-21T19:03:34,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
"6.605874, 3.349149",2023-06-22,29.1,24,26.4,33.9,24,28.3,23.5,84.6,0,0,0,rain,0,0,37.4,25.9,261.8,1014.3,52.4,9.9,35.1,3,2,10,2023-06-22T06:33:27,2023-06-22T19:03:47,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65202099999,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-06-23,29.8,24,26.3,34.8,24,28,23.8,86.4,2,100,4.17,rain,0,0,32.8,29.5,236.4,1013.5,69.4,9.9,155.8,13.5,9,10,2023-06-23T06:33:40,2023-06-23T19:04:00,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-06-24,27,24,25.3,30.1,24,26,23.6,90.9,26,100,16.67,rain,0,0,32,25.9,219.2,1013.9,61.5,8,41.6,3.5,2,10,2023-06-24T06:33:53,2023-06-24T19:04:12,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,65201099999"
"6.605874, 3.349149",2023-06-25,30,24,26.5,34.1,24,27.8,23.2,82.9,4,100,4.17,rain,0,0,29.9,24.1,218.3,1014.7,58.9,9.9,268.7,23.4,9,10,2023-06-25T06:34:07,2023-06-25T19:04:24,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,65201099999"
"6.605874, 3.349149",2023-06-26,30,22.9,26.1,34.9,22.9,27.4,22.2,79.7,0,0,0,,0,0,31,24.1,229.1,1014.2,52.8,11.2,172.8,14.9,7,10,2023-06-26T06:34:20,2023-06-26T19:04:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"6.605874, 3.349149",2023-06-27,32.1,24.1,27.6,37,24.1,29.6,22.9,76.9,0,0,0,rain,0,0,64.8,27.7,245.3,1013.4,57.8,9.7,214.6,18.7,8,10,2023-06-27T06:34:34,2023-06-27T19:04:47,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"6.605874, 3.349149",2023-06-28,27,23,25.2,30.1,23,25.7,23.5,90.8,32,100,12.5,rain,0,0,64.8,25.9,240.4,1014.2,61,9.3,45,3.9,3,10,2023-06-28T06:34:48,2023-06-28T19:04:58,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,65201099999"
"6.605874, 3.349149",2023-06-29,29.1,24.8,26.5,34.5,24.8,28.2,24.1,87,3,100,4.17,rain,0,0,21.2,22.3,219.8,1015.8,59.3,11.3,237,20.3,8,10,2023-06-29T06:35:02,2023-06-29T19:05:08,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-06-30,30.8,24,27.1,36.3,24,29.2,23.7,82.2,0.6,100,16.67,rain,0,0,24.1,24.1,236.9,1015.5,72.9,15.2,178.9,15.5,7,10,2023-06-30T06:35:16,2023-06-30T19:05:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-07-01,31.4,25,27.5,37.7,25,29.9,23.9,81.7,0.3,100,8.33,rain,0,0,24.1,25.9,223.4,1014.1,59.6,13.4,217.3,18.7,8,30,2023-07-01T06:35:30,2023-07-01T19:05:28,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
"6.605874, 3.349149",2023-07-02,31,23,26.7,37.7,23,28.6,23.6,83.9,12,100,4.17,rain,0,0,22.3,33.5,205.7,1015,66.7,12.4,44.5,3.9,2,10,2023-07-02T06:35:44,2023-07-02T19:05:37,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
