Date,Peak Generation,Daily Energy Generation,Lowest Energy Generation,Daily Energy Sent,6:00 Generation,Highest System Frequency,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded,datetimeEpoch,location,coordinates,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,location,coordinates
2024-04-05,4367.0,98963.23,3786.11,97589.53,4215.37,50.79,49.01,355.0,300.0,1712271600,abulegba_weather_data,"6.659095,3.309853",95.0,82.0,86.7,116.1,92.1,101.3,79.8,80.5,0.0,0.0,0.0,null,0.0,0.0,20.8,18.3,214.6,1010.4,61.6,6.2,181.6,15.8,10.0,60.0,06:43:02,1712295782,18:55:45,1712339745,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['DNMM', '65201099999']",obs,abulegba_weather_data,"6.659095,3.309853"
2024-04-06,4316.534333333346,99372.61116666687,3821.931666666662,98115.99919999973,4157.416033333341,50.59805666666687,49.0098466666667,352.9,301.76666666666665,1712358000,akowonjo_weather_data,"6.612,3.315",92.0,82.4,85.9,105.3,94.1,99.3,79.2,81.2,0.0,0.0,0.0,['rain'],0.0,0.0,16.1,13.9,216.5,1011.2,47.2,6.9,278.3,24.1,9.0,60.0,06:42:34,1712382154,18:55:36,1712426136,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['DNMM', 'remote', '65201099999']",obs,akowonjo_weather_data,"6.612,3.315"
